"Date","Price","Open","High","Low","Change %"
"13-09-2024","6.792","6.819","6.819","6.784","-0.28%"
"12-09-2024","6.811","6.835","6.835","6.806","-0.28%"
"11-09-2024","6.830","6.840","6.841","6.827","-0.31%"
"10-09-2024","6.851","6.855","6.855","6.850","-0.04%"
"09-09-2024","6.854","6.861","6.861","6.852","0.00%"
"06-09-2024","6.854","6.852","6.855","6.846","-0.01%"
"05-09-2024","6.855","6.853","6.856","6.851","-0.06%"
"04-09-2024","6.859","6.861","6.863","6.857","-0.16%"
"03-09-2024","6.870","6.885","6.885","6.869","-0.09%"
"02-09-2024","6.876","6.877","6.878","6.865","0.19%"
"30-08-2024","6.863","6.872","6.872","6.862","-0.01%"
"29-08-2024","6.864","6.870","6.870","6.862","0.04%"
"28-08-2024","6.861","6.858","6.866","6.856","0.00%"
"27-08-2024","6.861","6.863","6.863","6.854","0.15%"
"26-08-2024","6.851","6.854","6.854","6.848","-0.12%"
"23-08-2024","6.859","6.855","6.862","6.849","0.10%"
"22-08-2024","6.852","6.861","6.861","6.843","-0.01%"
"21-08-2024","6.853","6.849","6.859","6.846","-0.04%"
"20-08-2024","6.856","6.874","6.874","6.850","-0.12%"
"19-08-2024","6.864","6.871","6.871","6.860","-0.04%"
"16-08-2024","6.867","6.880","6.880","6.864","0.13%"
"14-08-2024","6.858","6.871","6.874","6.857","-0.32%"
"13-08-2024","6.880","6.869","6.887","6.869","0.01%"
"12-08-2024","6.879","6.881","6.881","6.870","-0.01%"
"09-08-2024","6.880","6.887","6.889","6.878","0.04%"
"08-08-2024","6.877","6.862","6.885","6.859","0.22%"
"07-08-2024","6.862","6.885","6.885","6.859","-0.15%"
"06-08-2024","6.872","6.870","6.880","6.867","0.17%"
"05-08-2024","6.860","6.862","6.865","6.844","-0.58%"
"02-08-2024","6.900","6.909","6.909","6.894","-0.23%"
"01-08-2024","6.916","6.912","6.919","6.909","-0.12%"
"31-07-2024","6.924","6.932","6.939","6.918","-0.10%"
"30-07-2024","6.931","6.926","6.934","6.910","0.17%"
"29-07-2024","6.919","6.942","6.942","6.913","-0.30%"
"26-07-2024","6.940","6.962","6.962","6.927","-0.17%"
"25-07-2024","6.952","6.974","6.974","6.952","-0.17%"
"24-07-2024","6.964","6.977","6.977","6.960","-0.09%"
"23-07-2024","6.970","6.972","6.987","6.952","0.04%"
"22-07-2024","6.967","6.982","6.982","6.966","0.03%"
"19-07-2024","6.965","6.976","6.976","6.962","-0.01%"
"18-07-2024","6.966","6.970","6.970","6.959","0.00%"
"16-07-2024","6.966","6.977","6.977","6.963","-0.21%"
"15-07-2024","6.981","7.005","7.005","6.977","-0.07%"
"12-07-2024","6.986","6.975","6.988","6.972","0.06%"
"11-07-2024","6.982","6.982","6.982","6.982","0.09%"
"10-07-2024","6.976","6.995","6.995","6.975","-0.19%"
"09-07-2024","6.989","7.006","7.006","6.983","0.00%"
"08-07-2024","6.989","6.989","6.991","6.983","-0.06%"
"05-07-2024","6.993","7.016","7.016","6.987","-0.07%"
"04-07-2024","6.998","6.992","7.001","6.989","-0.04%"
"03-07-2024","7.001","7.009","7.009","6.999","-0.11%"
"02-07-2024","7.009","7.009","7.009","7.009","-0.06%"
"01-07-2024","7.013","7.023","7.024","7.010","0.07%"
"28-06-2024","7.008","6.998","7.020","6.992","0.11%"
"27-06-2024","7.000","7.006","7.009","6.987","0.04%"
"26-06-2024","6.997","6.998","7.001","6.984","0.20%"
"25-06-2024","6.983","6.972","6.989","6.969","0.17%"
"24-06-2024","6.971","6.979","6.979","6.954","-0.03%"
"21-06-2024","6.973","6.984","6.984","6.972","-0.04%"
"20-06-2024","6.976","6.984","6.984","6.970","0.03%"
"19-06-2024","6.974","6.981","6.981","6.964","-0.10%"
"18-06-2024","6.981","6.998","6.998","6.981","-0.04%"
"14-06-2024","6.984","6.980","6.991","6.975","-0.03%"
"13-06-2024","6.986","7.003","7.003","6.985","-0.37%"
"12-06-2024","7.012","7.012","7.015","7.007","-0.03%"
"11-06-2024","7.014","7.055","7.055","7.012","-0.26%"
"10-06-2024","7.032","7.048","7.048","7.027","0.20%"
"07-06-2024","7.018","7.020","7.036","7.005","0.04%"
"06-06-2024","7.015","7.020","7.023","7.013","-0.16%"
"05-06-2024","7.026","7.034","7.054","7.023","-0.10%"
"04-06-2024","7.033","6.955","7.062","6.951","1.24%"
"03-06-2024","6.947","6.955","6.963","6.945","-0.56%"
"31-05-2024","6.986","6.991","6.994","6.980","-0.24%"
"30-05-2024","7.003","7.022","7.022","6.995","-0.07%"
"29-05-2024","7.008","7.020","7.020","6.987","0.19%"
"28-05-2024","6.995","6.981","6.998","6.971","0.20%"
"27-05-2024","6.981","7.016","7.016","6.967","-0.24%"
"24-05-2024","6.998","6.997","7.001","6.985","0.01%"
"22-05-2024","6.997","7.053","7.053","6.993","-1.14%"
"21-05-2024","7.078","7.101","7.101","7.069","-0.24%"
