"Date","Price","Open","High","Low","Change %"
"13-09-2024","6.704","6.710","6.710","6.697","-0.40%"
"12-09-2024","6.731","6.744","6.744","6.730","-0.01%"
"11-09-2024","6.732","6.776","6.776","6.732","-0.12%"
"10-09-2024","6.740","6.767","6.767","6.740","-0.22%"
"09-09-2024","6.755","6.806","6.806","6.755","0.18%"
"06-09-2024","6.743","6.784","6.784","6.743","-0.18%"
"05-09-2024","6.755","6.784","6.784","6.755","-0.06%"
"04-09-2024","6.759","6.769","6.769","6.759","-0.09%"
"03-09-2024","6.765","6.780","6.780","6.765","0.01%"
"02-09-2024","6.764","6.771","6.792","6.764","0.28%"
"30-08-2024","6.745","6.745","6.745","6.745","0.30%"
"29-08-2024","6.725","6.794","6.794","6.725","-0.24%"
"28-08-2024","6.741","6.769","6.794","6.741","-0.15%"
"27-08-2024","6.751","6.751","6.751","6.751","-0.19%"
"26-08-2024","6.764","6.771","6.771","6.764","-0.09%"
"23-08-2024","6.770","6.770","6.770","6.770","0.04%"
"22-08-2024","6.767","6.773","6.773","6.767","-0.06%"
"21-08-2024","6.771","6.784","6.798","6.771","-0.09%"
"20-08-2024","6.777","6.799","6.799","6.777","0.18%"
"19-08-2024","6.765","6.800","6.805","6.765","-0.56%"
"16-08-2024","6.803","6.803","6.803","6.803","0.01%"
"14-08-2024","6.802","6.802","6.802","6.802","-0.06%"
"13-08-2024","6.806","6.806","6.806","6.806","0.09%"
"12-08-2024","6.800","6.800","6.800","6.800","0.29%"
"09-08-2024","6.780","6.780","6.780","6.780","0.38%"
"08-08-2024","6.754","6.754","6.754","6.754","0.06%"
"07-08-2024","6.750","6.792","6.807","6.750","-0.25%"
"06-08-2024","6.767","6.767","6.767","6.767","0.13%"
"05-08-2024","6.758","6.808","6.808","6.758","-0.76%"
"02-08-2024","6.810","6.833","6.833","6.806","-0.21%"
"01-08-2024","6.824","6.815","6.824","6.810","0.10%"
"31-07-2024","6.817","6.825","6.828","6.817","-0.04%"
"30-07-2024","6.820","6.821","6.826","6.811","0.00%"
"29-07-2024","6.820","6.840","6.840","6.820","-0.07%"
"26-07-2024","6.825","6.860","7.031","6.817","-0.20%"
"25-07-2024","6.839","6.862","6.871","6.839","-0.38%"
"24-07-2024","6.865","6.886","6.890","6.865","-0.15%"
"23-07-2024","6.875","6.892","6.892","6.875","-0.15%"
"22-07-2024","6.885","6.916","6.916","6.885","0.17%"
"19-07-2024","6.873","7.032","7.032","6.873","-0.04%"
"18-07-2024","6.876","6.901","6.937","6.876","-0.22%"
"16-07-2024","6.891","6.951","6.951","6.891","-0.27%"
"15-07-2024","6.910","6.967","6.967","6.910","-0.07%"
"12-07-2024","6.915","6.963","6.963","6.915","-0.13%"
"11-07-2024","6.924","6.924","6.924","6.924","-0.10%"
"10-07-2024","6.931","6.955","6.955","6.931","-0.14%"
"09-07-2024","6.941","6.956","6.956","6.941","0.01%"
"08-07-2024","6.940","6.951","6.956","6.940","-0.13%"
"05-07-2024","6.949","6.976","6.976","6.949","-0.09%"
"04-07-2024","6.955","6.967","6.967","6.953","-0.01%"
"03-07-2024","6.956","6.968","6.968","6.954","0.20%"
"02-07-2024","6.942","6.942","6.942","6.942","-0.30%"
"01-07-2024","6.963","6.992","6.992","6.959","0.20%"
