"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","26,419.90","26,511.00","26,511.00","26,387.10","600.15M","-0.16%"
"12-09-2024","26,461.10","26,145.90","26,497.50","26,041.60","716.37M","1.82%"
"11-09-2024","25,987.80","26,118.80","26,204.10","25,950.05","663.42M","-0.49%"
"10-09-2024","26,115.20","26,086.50","26,214.75","25,979.90","611.31M","0.40%"
"09-09-2024","26,011.25","25,898.90","26,035.40","25,786.30","608.95M","0.32%"
"06-09-2024","25,928.55","26,195.40","26,254.85","25,877.45","726.65M","-1.18%"
"05-09-2024","26,239.10","26,339.45","26,359.70","26,222.00","601.08M","-0.14%"
"04-09-2024","26,275.75","26,143.00","26,291.00","26,137.00","573.21M","-0.25%"
"03-09-2024","26,341.70","26,394.00","26,394.15","26,309.00","543.13M","0.03%"
"02-09-2024","26,335.00","26,383.45","26,383.50","26,261.70","563.86M","0.23%"
"30-08-2024","26,274.35","26,291.15","26,309.05","26,242.55","1.02B","0.33%"
"29-08-2024","26,188.90","26,107.45","26,222.35","26,023.35","667.42M","0.28%"
"28-08-2024","26,116.80","26,116.15","26,193.60","26,033.95","476.12M","0.13%"
"27-08-2024","26,083.15","26,098.75","26,134.85","26,038.25","478.62M","0.02%"
"26-08-2024","26,076.80","25,998.55","26,102.75","25,952.95","460.36M","0.66%"
"23-08-2024","25,905.95","25,956.30","25,972.05","25,880.50","549.35M","-0.02%"
"22-08-2024","25,910.45","25,958.10","25,961.80","25,877.50","486.86M","0.22%"
"21-08-2024","25,853.20","25,775.70","25,871.60","25,746.60","539.50M","0.27%"
"20-08-2024","25,782.35","25,718.35","25,801.95","25,673.90","650.00M","0.56%"
"19-08-2024","25,638.20","25,699.95","25,701.40","25,604.45","562.76M","0.23%"
"16-08-2024","25,578.50","25,355.80","25,599.45","25,221.25","576.35M","1.66%"
"14-08-2024","25,160.65","25,210.00","25,224.20","25,090.35","612.91M","0.02%"
