"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","60,014.20","60,022.65","60,301.80","59,873.70","","0.45%"
"12-09-2024","59,743.00","59,411.35","59,777.80","59,117.60","","1.50%"
"11-09-2024","58,857.50","59,095.85","59,393.45","58,762.75","","-0.17%"
"10-09-2024","58,955.40","58,773.90","59,165.20","58,740.10","","0.94%"
"09-09-2024","58,408.40","58,724.45","58,734.30","57,722.95","","-0.71%"
"06-09-2024","58,824.25","59,788.25","59,900.25","58,735.25","","-1.50%"
"05-09-2024","59,721.05","60,105.25","60,169.05","59,668.90","","-0.26%"
"04-09-2024","59,879.10","59,551.25","59,922.15","59,410.70","","-0.29%"
"03-09-2024","60,053.05","60,131.25","60,264.05","59,982.95","","0.19%"
"02-09-2024","59,936.65","60,550.00","60,584.70","59,598.20","","-0.56%"
"30-08-2024","60,274.95","60,284.55","60,462.45","59,817.55","","0.57%"
"29-08-2024","59,932.80","60,255.40","60,395.25","59,547.45","","-0.30%"
"28-08-2024","60,111.15","60,050.45","60,369.85","59,819.50","","0.65%"
"27-08-2024","59,720.45","59,735.60","59,914.80","59,614.15","","0.22%"
"26-08-2024","59,587.05","59,758.10","59,796.90","59,423.60","","0.17%"
"23-08-2024","59,484.20","59,697.35","59,840.20","59,431.20","","-0.04%"
"22-08-2024","59,508.90","59,639.55","59,708.95","59,330.85","","0.38%"
"21-08-2024","59,284.40","59,367.75","59,594.60","59,146.30","","-0.09%"
"20-08-2024","59,335.30","59,360.00","59,385.65","58,835.85","","0.42%"
"19-08-2024","59,087.95","59,112.70","59,561.60","58,998.70","","0.81%"
"16-08-2024","58,611.75","58,005.20","58,648.40","57,672.90","","1.99%"
"14-08-2024","57,470.15","58,170.55","58,256.10","57,136.95","","-0.51%"
"13-08-2024","57,763.15","58,677.10","58,798.20","57,603.00","","-0.84%"
"12-08-2024","58,249.80","57,494.60","58,439.40","57,248.75","","0.63%"
"09-08-2024","57,883.80","57,571.60","58,010.60","57,308.50","","1.63%"
"08-08-2024","56,957.25","57,539.00","57,770.35","56,834.50","","-0.42%"
"07-08-2024","57,195.35","56,776.60","57,279.60","55,901.75","","3.38%"
"06-08-2024","55,322.80","56,939.85","57,927.35","55,167.70","","-1.54%"
"05-08-2024","56,189.40","56,735.65","57,347.65","55,747.40","","-4.46%"
"02-08-2024","58,809.90","58,623.80","59,165.95","58,319.70","","-0.85%"
"01-08-2024","59,311.25","60,361.50","60,414.35","59,012.70","","-1.30%"
"31-07-2024","60,090.65","59,683.80","60,305.10","59,572.00","","0.83%"
"30-07-2024","59,597.75","59,757.55","59,991.95","59,523.80","","0.05%"
"29-07-2024","59,570.10","58,842.85","59,629.30","58,601.45","","2.14%"
"26-07-2024","58,322.80","58,068.30","58,416.50","58,007.00","","1.30%"
"25-07-2024","57,571.90","57,464.85","57,876.35","57,233.60","","-0.47%"
"24-07-2024","57,841.00","57,155.75","58,198.15","57,055.25","","1.45%"
"23-07-2024","57,016.75","58,145.35","58,155.15","53,881.60","","-1.07%"
"22-07-2024","57,632.70","56,638.35","57,780.20","56,106.10","","1.13%"
"19-07-2024","56,989.75","57,961.45","58,278.80","56,718.45","","-2.01%"
