"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","31.35","31.50","31.50","31.23","5.46M","0.35%"
"12-09-2024","31.24","31.32","31.32","30.75","6.87M","1.40%"
"11-09-2024","30.81","30.97","31.12","30.71","759.30K","-0.55%"
"10-09-2024","30.98","31.35","31.35","30.85","944.22K","0.42%"
"09-09-2024","30.85","31.75","31.75","30.53","1.26M","0.03%"
"06-09-2024","30.84","31.40","31.40","30.78","1.65M","-1.12%"
"05-09-2024","31.19","31.27","31.49","31.15","1.34M","-0.29%"
"04-09-2024","31.28","31.15","31.31","30.85","1.07M","0.10%"
"03-09-2024","31.25","31.64","31.64","30.84","942.14K","0.03%"
"02-09-2024","31.24","31.49","31.49","31.17","1.21M","-0.13%"
"30-08-2024","31.28","31.05","31.32","30.91","3.12M","0.71%"
"29-08-2024","31.06","30.95","31.10","30.83","2.02M","0.26%"
"28-08-2024","30.98","30.97","31.09","30.66","2.47M","0.03%"
"27-08-2024","30.97","30.98","31.08","30.91","2.10M","-0.03%"
"26-08-2024","30.98","30.83","31.04","30.75","791.38K","0.45%"
"23-08-2024","30.84","31.19","31.19","30.72","1.29M","0.16%"
"22-08-2024","30.79","30.50","30.89","30.47","2.39M","0.59%"
"21-08-2024","30.61","31.45","31.45","30.47","2.46M","0.23%"
"20-08-2024","30.54","30.47","30.59","30.37","4.17M","0.46%"
"19-08-2024","30.40","30.44","30.84","30.35","2.86M","-0.13%"
"16-08-2024","30.44","30.95","30.98","29.91","3.93M","1.26%"
"14-08-2024","30.06","30.50","30.50","29.93","8.99M","-0.17%"
"13-08-2024","30.11","30.35","30.40","30.05","3.67M","-0.82%"
"12-08-2024","30.36","30.33","30.70","30.04","1.42M","0.07%"
"09-08-2024","30.34","30.41","30.89","30.21","650.09K","0.23%"
"08-08-2024","30.27","30.22","30.60","30.04","1.68M","0.17%"
"07-08-2024","30.22","30.55","30.55","29.96","2.15M","1.85%"
"06-08-2024","29.67","30.50","30.50","29.49","1.71M","-0.74%"
"05-08-2024","29.89","30.40","30.40","29.57","1.86M","-1.77%"
"02-08-2024","30.43","30.80","30.80","30.13","1.24M","-1.20%"
"01-08-2024","30.80","30.62","30.97","30.62","1.95M","0.59%"
"31-07-2024","30.62","30.47","30.70","30.47","549.85K","0.49%"
"30-07-2024","30.47","30.90","30.90","30.43","778.76K","0.13%"
"29-07-2024","30.43","30.28","30.66","30.28","743.69K","0.50%"
"26-07-2024","30.28","29.87","30.32","29.85","655.79K","1.34%"
"25-07-2024","29.88","29.72","29.92","29.39","992.15K","0.23%"
"24-07-2024","29.81","29.69","29.95","29.68","853.00K","-0.03%"
"23-07-2024","29.82","29.91","30.12","29.13","2.46M","0.47%"
"22-07-2024","29.68","28.65","29.95","28.65","5.63M","0.44%"
"19-07-2024","29.55","30.30","30.30","29.50","4.51M","-1.57%"
"18-07-2024","30.02","29.95","30.29","29.71","2.00M","0.33%"
"16-07-2024","29.92","29.94","30.14","29.88","472.85K","0.10%"
"15-07-2024","29.89","29.71","29.94","29.71","721.14K","0.78%"
"12-07-2024","29.66","29.71","29.95","29.65","579.13K","-0.17%"
"11-07-2024","29.71","29.79","29.95","29.61","2.11M","-0.17%"
"10-07-2024","29.76","29.73","29.80","29.30","1.38M","0.54%"
"09-07-2024","29.60","29.50","29.70","29.38","2.87M","0.85%"
"08-07-2024","29.35","29.50","29.50","29.28","833.48K","0.00%"
"05-07-2024","29.35","29.11","29.40","29.11","737.00K","0.82%"
"04-07-2024","29.11","28.93","29.24","28.93","1.26M","0.62%"
"03-07-2024","28.93","28.50","29.09","28.30","3.95M","0.07%"
"02-07-2024","28.91","29.00","29.10","28.61","528.66K","0.03%"
"01-07-2024","28.90","28.84","29.12","28.70","7.84M","0.21%"
"28-06-2024","28.84","29.55","29.55","28.60","479.43K","0.45%"
