"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","25,820.85","25,832.40","25,870.70","25,718.15","59.25M","0.16%"
"12-09-2024","25,779.80","25,342.55","25,818.45","25,191.10","57.26M","2.14%"
"11-09-2024","25,240.60","25,406.40","25,456.80","25,191.00","70.70M","-1.24%"
"10-09-2024","25,556.45","25,539.50","25,627.15","25,398.30","30.14M","0.24%"
"09-09-2024","25,495.25","25,499.60","25,523.60","25,259.25","29.37M","-0.12%"
"06-09-2024","25,527.15","25,817.65","25,893.15","25,435.90","32.31M","-1.19%"
"05-09-2024","25,835.30","25,987.70","26,016.95","25,800.25","38.64M","-0.38%"
"04-09-2024","25,934.25","25,869.40","25,988.55","25,764.20","30.90M","-0.39%"
"03-09-2024","26,034.65","26,140.85","26,141.75","26,004.15","31.62M","-0.14%"
"02-09-2024","26,071.40","26,289.35","26,289.35","25,951.90","32.84M","-0.39%"
"30-08-2024","26,172.80","26,083.30","26,245.60","25,976.45","62.70M","0.59%"
"29-08-2024","26,020.40","25,858.40","26,117.95","25,671.25","69.56M","0.54%"
"28-08-2024","25,879.40","25,963.25","26,055.60","25,817.25","28.11M","-0.13%"
"27-08-2024","25,911.90","25,960.70","26,026.80","25,857.05","38.75M","-0.11%"
"26-08-2024","25,941.45","25,913.50","25,995.75","25,802.15","33.07M","0.35%"
"23-08-2024","25,850.70","25,630.80","25,929.05","25,621.25","52.50M","1.12%"
"22-08-2024","25,563.65","25,658.45","25,681.50","25,518.05","30.57M","-0.09%"
"21-08-2024","25,586.75","25,520.55","25,597.65","25,448.05","31.84M","0.34%"
"20-08-2024","25,500.00","25,480.75","25,538.45","25,377.60","49.32M","0.52%"
"19-08-2024","25,368.75","25,732.10","25,732.10","25,355.70","48.44M","-0.89%"
"16-08-2024","25,597.35","25,344.80","25,635.45","25,261.75","46.21M","2.01%"
"14-08-2024","25,093.50","25,169.80","25,235.85","25,021.10","55.47M","0.05%"
"13-08-2024","25,081.85","25,330.45","25,362.35","25,041.95","54.13M","-0.78%"
"12-08-2024","25,278.95","25,267.15","25,345.10","25,089.75","40.15M","-0.27%"
"09-08-2024","25,346.65","25,272.90","25,445.00","25,202.75","50.19M","1.72%"
"08-08-2024","24,917.35","24,947.80","25,111.15","24,785.05","53.00M","-0.08%"
"07-08-2024","24,937.60","25,001.50","25,028.20","24,789.85","45.89M","1.70%"
"06-08-2024","24,520.05","24,909.05","25,309.20","24,464.50","80.98M","-0.75%"
"05-08-2024","24,706.50","25,056.05","25,150.50","24,509.25","145.32M","-3.92%"
"02-08-2024","25,714.45","26,192.80","26,192.80","25,678.35","54.66M","-2.92%"
"01-08-2024","26,487.45","26,900.95","26,934.05","26,357.45","52.30M","-0.74%"
"31-07-2024","26,685.25","26,675.60","26,800.70","26,516.35","42.68M","0.39%"
"30-07-2024","26,580.95","26,468.85","26,757.90","26,386.10","55.60M","0.58%"
"29-07-2024","26,426.55","26,382.30","26,460.65","26,261.80","68.69M","0.67%"
"26-07-2024","26,250.70","25,759.25","26,289.35","25,601.70","89.83M","2.43%"
"25-07-2024","25,627.35","25,210.70","25,640.40","25,147.35","76.87M","1.26%"
"24-07-2024","25,309.05","25,305.80","25,370.10","25,193.05","41.94M","-0.05%"
"23-07-2024","25,321.70","25,361.75","25,458.20","24,473.80","52.73M","0.28%"
"22-07-2024","25,250.75","24,889.30","25,292.90","24,689.80","52.38M","1.15%"
"19-07-2024","24,963.35","25,573.90","25,573.90","24,931.25","42.15M","-2.40%"
"18-07-2024","25,576.70","25,457.40","25,605.50","25,162.70","84.43M","0.37%"
"16-07-2024","25,482.90","25,510.25","25,587.85","25,430.95","29.82M","0.25%"
"15-07-2024","25,419.80","25,235.70","25,451.10","25,191.15","41.47M","1.09%"
"12-07-2024","25,145.45","25,246.40","25,301.40","25,102.40","34.27M","-0.44%"
"11-07-2024","25,257.25","25,381.10","25,431.15","25,228.90","57.64M","-0.18%"
"10-07-2024","25,302.80","25,904.45","25,906.10","25,094.10","64.90M","-2.02%"
"09-07-2024","25,823.55","25,389.70","25,845.75","25,338.35","48.34M","2.23%"
"08-07-2024","25,260.50","25,480.55","25,581.95","25,230.80","45.20M","-0.54%"
"05-07-2024","25,398.30","25,377.75","25,428.75","25,226.45","47.81M","0.13%"
"04-07-2024","25,366.45","25,270.75","25,415.25","25,242.55","52.22M","0.73%"
"03-07-2024","25,182.80","25,252.00","25,273.30","25,123.20","61.04M","0.21%"
"02-07-2024","25,130.85","25,397.30","25,397.30","25,039.15","78.55M","-0.76%"
"01-07-2024","25,323.85","25,173.65","25,417.90","25,172.40","73.33M","0.49%"
"28-06-2024","25,200.60","25,160.55","25,339.15","25,119.65","63.39M","0.04%"
"27-06-2024","25,191.40","25,025.65","25,249.55","24,841.85","97.82M","0.69%"
"26-06-2024","25,018.90","25,260.50","25,293.80","24,999.60","56.92M","-0.92%"
"25-06-2024","25,250.25","25,363.65","25,505.75","25,205.50","63.23M","-0.24%"
"24-06-2024","25,309.80","25,033.95","25,350.85","24,861.30","56.77M","0.87%"
"21-06-2024","25,092.30","25,344.80","25,437.35","25,016.90","71.18M","-0.69%"
"20-06-2024","25,267.85","25,432.10","25,498.40","25,201.25","67.53M","-0.45%"
"19-06-2024","25,381.70","25,809.85","25,824.35","25,344.40","81.27M","-1.30%"
"18-06-2024","25,715.30","25,844.70","25,991.45","25,690.35","90.32M","-0.03%"
"14-06-2024","25,722.10","25,437.80","25,774.70","25,347.35","66.70M","1.30%"
"13-06-2024","25,393.20","25,482.30","25,482.30","25,162.50","46.99M","0.70%"
