"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","25,429.45","25,241.30","25,457.20","25,222.40","","1.20%"
"12-09-2024","25,127.00","25,078.20","25,140.95","24,992.35","","0.75%"
"11-09-2024","24,940.85","25,314.25","25,329.15","24,927.00","","-1.07%"
"10-09-2024","25,209.85","24,943.55","25,242.80","24,938.80","","1.72%"
"09-09-2024","24,783.00","24,961.50","24,976.20","24,489.80","","-0.70%"
"06-09-2024","24,957.35","25,363.70","25,468.75","24,927.65","","-1.18%"
"05-09-2024","25,254.35","25,237.35","25,373.05","25,206.60","","0.62%"
"04-09-2024","25,097.85","24,852.30","25,219.45","24,786.75","","0.27%"
"03-09-2024","25,030.60","24,961.30","25,094.55","24,960.60","","0.50%"
"02-09-2024","24,906.25","25,238.85","25,264.20","24,857.90","","-0.81%"
"30-08-2024","25,108.80","24,954.10","25,152.30","24,802.65","","1.12%"
"29-08-2024","24,831.20","25,139.55","25,152.95","24,737.75","","-1.09%"
"28-08-2024","25,104.90","25,282.85","25,350.35","25,085.25","","-0.30%"
"27-08-2024","25,179.55","25,130.70","25,219.30","25,117.40","","0.39%"
"26-08-2024","25,082.10","25,274.60","25,309.55","25,069.15","","-0.25%"
"23-08-2024","25,143.85","25,236.85","25,266.00","25,102.35","","0.05%"
"22-08-2024","25,131.30","25,160.75","25,226.15","25,095.05","","0.51%"
"21-08-2024","25,002.85","24,812.45","25,018.35","24,788.00","","1.09%"
"20-08-2024","24,732.15","24,764.10","24,786.00","24,651.10","","0.53%"
"19-08-2024","24,601.05","24,457.95","24,622.20","24,425.60","","1.46%"
"16-08-2024","24,246.95","23,985.65","24,261.25","23,963.90","","2.07%"
"14-08-2024","23,754.35","23,978.95","24,004.50","23,512.70","","-0.48%"
"13-08-2024","23,869.85","24,415.90","24,439.00","23,821.70","","-1.79%"
"12-08-2024","24,305.35","24,153.80","24,395.45","23,948.80","","0.49%"
"09-08-2024","24,185.85","24,182.00","24,216.80","24,040.05","","1.08%"
"08-08-2024","23,928.45","24,002.15","24,159.75","23,868.10","","-0.02%"
"07-08-2024","23,934.30","23,662.55","23,962.20","23,423.75","","2.83%"
"06-08-2024","23,274.60","23,739.40","24,055.20","23,208.60","","-0.91%"
"05-08-2024","23,487.80","23,922.45","24,067.80","23,329.55","","-4.49%"
"02-08-2024","24,591.00","24,364.65","24,707.70","24,284.85","","-0.15%"
"01-08-2024","24,628.60","24,939.10","24,982.60","24,544.80","","-0.77%"
"31-07-2024","24,818.60","24,894.95","24,917.45","24,780.10","","0.13%"
"30-07-2024","24,787.05","24,711.55","24,836.10","24,649.70","","0.65%"
"29-07-2024","24,626.45","24,676.05","24,827.05","24,540.55","","0.77%"
"26-07-2024","24,439.35","24,323.80","24,531.95","24,317.70","","1.07%"
"25-07-2024","24,180.25","23,989.70","24,245.75","23,923.65","","0.20%"
"24-07-2024","24,131.50","23,588.55","24,152.65","23,577.75","","2.68%"
"23-07-2024","23,502.25","23,567.55","23,619.15","22,542.60","","0.20%"
"22-07-2024","23,455.15","23,107.65","23,569.00","22,875.25","","0.90%"
"19-07-2024","23,246.60","23,756.35","23,764.25","23,169.85","","-2.26%"
"18-07-2024","23,783.35","24,070.10","24,103.60","23,665.20","","-1.04%"
"16-07-2024","24,032.15","24,074.10","24,211.75","23,985.05","","0.24%"
"15-07-2024","23,975.40","24,096.95","24,127.65","23,743.20","","0.03%"
"12-07-2024","23,967.15","24,198.00","24,249.60","23,931.50","","-0.42%"
"11-07-2024","24,067.90","23,953.40","24,100.40","23,940.80","","0.91%"
"10-07-2024","23,849.75","23,564.90","23,849.75","23,541.05","","-0.83%"
"09-07-2024","24,049.90","24,128.45","24,184.70","23,908.05","","0.20%"
"08-07-2024","24,001.95","24,175.70","24,275.75","23,867.85","","-0.34%"
"05-07-2024","24,084.20","23,924.55","24,105.55","23,851.45","","0.88%"
"04-07-2024","23,873.60","23,906.20","23,947.10","23,792.70","","0.29%"
"03-07-2024","23,804.90","23,779.15","23,841.45","23,719.35","","0.76%"
"02-07-2024","23,625.80","23,734.00","23,766.65","23,454.85","","0.20%"
"01-07-2024","23,578.10","23,176.75","23,600.20","23,176.75","","2.29%"
"28-06-2024","23,049.90","23,044.25","23,115.85","22,947.45","","0.64%"
"27-06-2024","22,902.70","23,228.95","23,314.80","22,791.15","","-1.08%"
"26-06-2024","23,153.45","23,145.80","23,230.30","23,097.50","","0.54%"
"25-06-2024","23,028.65","23,156.90","23,247.15","23,002.30","","0.01%"
"24-06-2024","23,026.85","22,935.65","23,137.35","22,796.50","","0.28%"
"21-06-2024","22,963.30","23,101.30","23,169.70","22,889.50","","-0.03%"
"20-06-2024","22,969.95","22,741.15","23,020.00","22,664.90","","1.42%"
"19-06-2024","22,648.00","22,876.70","22,890.20","22,414.25","","-0.38%"
"18-06-2024","22,733.30","22,683.25","22,786.85","22,582.60","","0.93%"
"14-06-2024","22,523.40","22,440.25","22,574.40","22,312.20","","0.83%"
"13-06-2024","22,338.80","22,341.65","22,399.80","22,172.20","","0.67%"
"12-06-2024","22,189.25","22,028.35","22,226.50","22,028.35","","1.30%"
"11-06-2024","21,903.95","21,694.10","21,934.10","21,618.90","","1.63%"
"10-06-2024","21,553.00","21,436.40","21,606.50","21,424.70","","1.40%"
"07-06-2024","21,254.95","20,881.75","21,265.95","20,787.70","","2.36%"
"06-06-2024","20,765.85","20,385.30","20,848.50","20,385.30","","3.10%"
"05-06-2024","20,141.95","19,616.25","20,160.20","19,088.90","","3.22%"
"04-06-2024","19,512.95","21,004.00","21,004.00","18,762.10","","-7.18%"
"03-06-2024","21,022.65","21,483.15","21,483.15","20,956.95","","1.81%"
"31-05-2024","20,648.90","20,555.45","20,681.55","20,294.70","","0.95%"
"30-05-2024","20,455.15","20,743.20","20,777.20","20,414.15","","-1.50%"
"29-05-2024","20,767.40","20,646.60","20,820.00","20,584.10","","0.31%"
"28-05-2024","20,704.25","20,986.55","21,015.20","20,603.80","","-1.19%"
"27-05-2024","20,953.95","21,206.75","21,229.80","20,880.15","","-0.83%"
"24-05-2024","21,130.05","21,214.50","21,297.20","21,100.00","","-0.40%"
"23-05-2024","21,214.15","21,307.65","21,365.30","21,177.70","","-0.15%"
"22-05-2024","21,246.45","21,304.65","21,350.35","20,982.55","","0.22%"
"21-05-2024","21,199.60","21,304.30","21,304.30","21,067.05","","-0.14%"
"18-05-2024","21,230.00","21,230.00","21,230.00","21,230.00","","0.68%"
"17-05-2024","21,085.90","20,920.90","21,103.75","20,913.60","","1.10%"
"16-05-2024","20,857.25","20,858.75","20,907.40","20,786.40","","0.59%"
"15-05-2024","20,735.80","20,609.80","20,753.00","20,609.80","","1.18%"
"14-05-2024","20,494.15","20,171.15","20,508.00","20,166.80","","2.11%"
"13-05-2024","20,071.25","20,150.10","20,150.10","19,663.35","","-0.27%"
"10-05-2024","20,125.75","19,987.80","20,139.65","19,682.25","","1.09%"
"09-05-2024","19,908.90","20,517.75","20,545.95","19,876.70","","-2.67%"
"08-05-2024","20,455.10","20,285.05","20,556.65","20,148.80","","0.82%"
"07-05-2024","20,287.90","20,644.85","20,652.10","20,143.75","","-1.55%"
"06-05-2024","20,608.00","21,037.15","21,057.40","20,497.40","","-1.43%"
"03-05-2024","20,905.95","21,120.35","21,125.10","20,743.60","","-0.60%"
"02-05-2024","21,031.90","21,087.40","21,100.25","20,976.50","","0.31%"
"30-04-2024","20,966.80","21,051.00","21,103.95","20,955.95","","0.07%"
"29-04-2024","20,951.60","20,998.65","21,043.35","20,909.30","","0.53%"
"26-04-2024","20,841.75","20,974.55","20,984.45","20,819.70","","-0.22%"
"25-04-2024","20,888.05","20,824.30","20,911.25","20,785.80","","0.59%"
"24-04-2024","20,766.45","20,778.35","20,861.95","20,748.55","","0.68%"
"23-04-2024","20,626.50","20,566.45","20,645.35","20,519.20","","0.80%"
"22-04-2024","20,462.60","20,300.00","20,462.60","20,262.90","","2.09%"
"19-04-2024","20,044.50","19,833.25","20,116.45","19,641.15","","-0.29%"
"18-04-2024","20,101.85","20,191.90","20,328.65","20,023.35","","0.25%"
"16-04-2024","20,051.85","19,697.15","20,101.60","19,697.15","","1.03%"
"15-04-2024","19,848.05","19,742.90","19,995.85","19,425.95","","-1.79%"
"12-04-2024","20,209.90","20,313.70","20,417.35","20,157.55","","-0.80%"
"10-04-2024","20,373.25","20,435.85","20,448.50","20,244.55","","-0.03%"
"09-04-2024","20,378.35","20,460.85","20,532.35","20,242.70","","0.01%"
"08-04-2024","20,376.05","20,613.15","20,623.85","20,345.40","","-0.38%"
"05-04-2024","20,454.75","20,387.80","20,477.40","20,218.00","","0.42%"
"04-04-2024","20,368.55","20,423.75","20,471.75","20,206.25","","0.54%"
"03-04-2024","20,258.75","19,974.75","20,267.95","19,955.55","","1.55%"
"02-04-2024","19,949.75","19,700.30","19,953.20","19,669.60","","1.75%"
"01-04-2024","19,606.85","19,178.15","19,620.05","19,178.15","","3.42%"
"28-03-2024","18,958.85","19,052.90","19,131.30","18,946.95","","0.18%"
"27-03-2024","18,925.20","18,913.70","19,060.85","18,905.40","","0.65%"
"26-03-2024","18,803.80","18,981.50","19,003.25","18,779.20","","-0.76%"
"22-03-2024","18,948.50","18,753.35","18,990.80","18,731.10","","1.37%"
"21-03-2024","18,692.90","18,478.20","18,714.55","18,478.20","","2.32%"
"20-03-2024","18,268.45","18,395.75","18,470.75","18,060.00","","-0.19%"
"19-03-2024","18,303.50","18,570.80","18,648.85","18,290.85","","-1.31%"
"18-03-2024","18,546.40","18,611.35","18,733.05","18,428.30","","0.24%"
"15-03-2024","18,502.00","18,349.35","18,580.05","18,083.55","","0.92%"
"14-03-2024","18,333.30","17,460.95","18,360.50","17,359.95","","4.04%"
"13-03-2024","17,620.95","18,780.00","18,854.30","17,552.20","","-6.17%"
"12-03-2024","18,779.85","19,310.20","19,320.05","18,662.65","","-2.55%"
"11-03-2024","19,270.35","19,858.00","19,863.20","19,244.00","","-2.43%"
"07-03-2024","19,749.85","19,739.95","19,868.85","19,739.95","","0.38%"
"06-03-2024","19,676.00","20,145.90","20,147.25","19,454.55","","-2.53%"
"05-03-2024","20,187.70","20,307.05","20,320.05","20,133.95","","-0.66%"
"04-03-2024","20,320.85","20,605.85","20,609.70","20,305.90","","-0.91%"
"02-03-2024","20,506.60","20,457.70","20,530.00","20,427.75","","0.86%"
"01-03-2024","20,332.15","20,384.30","20,465.55","20,318.15","","0.20%"
"29-02-2024","20,291.80","19,963.60","20,301.10","19,733.95","","1.60%"
"28-02-2024","19,971.55","20,503.60","20,529.55","19,896.30","","-2.33%"
"27-02-2024","20,448.60","20,591.85","20,638.90","20,407.55","","-0.55%"
"26-02-2024","20,561.40","20,638.25","20,693.55","20,542.15","","0.04%"
"23-02-2024","20,553.75","20,560.05","20,626.90","20,521.35","","0.60%"
"22-02-2024","20,430.55","20,448.15","20,462.20","20,112.20","","0.40%"
"21-02-2024","20,349.50","20,706.70","20,740.00","20,319.80","","-1.32%"
"20-02-2024","20,622.00","20,708.05","20,756.60","20,601.75","","-0.12%"
"19-02-2024","20,646.95","20,535.90","20,689.10","20,532.40","","1.21%"
"16-02-2024","20,400.15","20,389.80","20,472.80","20,377.05","","0.70%"
"15-02-2024","20,257.75","20,174.80","20,341.85","20,174.80","","1.17%"
"14-02-2024","20,023.75","19,478.90","20,053.40","19,424.35","","1.67%"
"13-02-2024","19,694.85","19,678.65","19,716.90","19,111.85","","0.18%"
"12-02-2024","19,659.30","20,514.30","20,514.30","19,559.45","","-3.84%"
"09-02-2024","20,444.75","20,847.30","20,852.60","20,078.30","","-1.59%"
"08-02-2024","20,775.30","20,978.45","20,998.40","20,737.10","","-0.19%"
"07-02-2024","20,814.05","20,885.15","20,982.10","20,766.25","","0.57%"
"06-02-2024","20,696.80","20,531.20","20,717.45","20,431.85","","1.30%"
"05-02-2024","20,430.40","20,608.90","20,669.70","20,332.90","","-0.31%"
"02-02-2024","20,493.10","20,595.80","20,669.75","20,423.85","","0.39%"
"01-02-2024","20,412.70","20,614.55","20,623.80","20,271.95","","-0.36%"
"31-01-2024","20,486.25","20,226.70","20,527.25","20,226.55","","1.66%"
"30-01-2024","20,150.75","20,243.65","20,282.35","20,118.55","","0.33%"
"29-01-2024","20,085.30","20,041.10","20,137.15","20,038.75","","1.17%"
"25-01-2024","19,852.85","19,722.30","19,919.75","19,722.30","","1.15%"
"24-01-2024","19,626.75","19,297.05","19,630.75","19,087.70","","1.65%"
"23-01-2024","19,308.90","20,004.10","20,033.90","19,190.50","","-2.75%"
"20-01-2024","19,854.65","19,808.50","19,952.55","19,716.25","","0.80%"
"19-01-2024","19,696.85","19,649.65","19,735.25","19,647.65","","0.88%"
"18-01-2024","19,525.90","19,448.95","19,571.30","18,940.40","","0.25%"
"17-01-2024","19,478.10","19,463.30","19,654.60","19,366.40","","-0.86%"
"16-01-2024","19,647.25","19,788.60","19,857.90","19,408.80","","-0.38%"
"15-01-2024","19,722.70","19,818.90","19,849.85","19,593.10","","0.07%"
"12-01-2024","19,709.10","19,779.30","19,787.45","19,684.20","","0.22%"
"11-01-2024","19,665.40","19,618.60","19,690.75","19,589.25","","0.93%"
"10-01-2024","19,484.95","19,438.25","19,500.00","19,291.55","","0.48%"
"09-01-2024","19,392.45","19,510.15","19,576.45","19,372.60","","0.09%"
"08-01-2024","19,375.70","19,517.45","19,544.75","19,326.30","","-0.11%"
"05-01-2024","19,396.15","19,446.00","19,532.50","19,232.00","","0.38%"
"04-01-2024","19,321.85","19,169.55","19,341.65","19,162.45","","1.32%"
"03-01-2024","19,070.40","18,996.05","19,104.35","18,958.00","","0.67%"
"02-01-2024","18,944.20","18,954.90","19,014.65","18,652.60","","0.31%"
"01-01-2024","18,885.40","18,764.70","18,931.30","18,764.70","","1.23%"
"29-12-2023","18,656.75","18,565.90","18,677.30","18,499.60","","0.75%"
"28-12-2023","18,517.40","18,663.10","18,683.70","18,502.65","","-0.37%"
"27-12-2023","18,585.65","18,681.40","18,722.80","18,510.10","","0.06%"
"26-12-2023","18,574.70","18,531.85","18,586.30","18,469.85","","0.77%"
"22-12-2023","18,432.80","18,412.25","18,508.00","18,267.50","","0.84%"
"21-12-2023","18,279.85","17,746.70","18,317.65","17,630.15","","2.13%"
"20-12-2023","17,898.80","18,793.05","18,832.30","17,849.10","","-4.20%"
