"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","16,878.00","16,818.90","16,926.10","16,789.20","584.05M","0.70%"
"12-09-2024","16,760.15","16,713.00","16,779.70","16,625.70","854.86M","1.30%"
"11-09-2024","16,545.85","16,634.80","16,713.10","16,506.10","891.26M","-0.10%"
"10-09-2024","16,562.85","16,458.80","16,617.25","16,444.60","818.38M","1.43%"
"09-09-2024","16,328.90","16,392.60","16,396.70","16,240.20","1.03B","-0.52%"
"06-09-2024","16,413.95","16,703.20","16,711.25","16,384.20","2.25B","-1.74%"
"05-09-2024","16,705.15","16,721.40","16,747.90","16,658.90","710.28M","0.46%"
"04-09-2024","16,627.95","16,524.40","16,646.00","16,497.25","580.33M","-0.14%"
"03-09-2024","16,651.60","16,619.10","16,708.15","16,607.65","542.13M","0.38%"
"02-09-2024","16,588.75","16,690.60","16,690.60","16,548.25","1.14B","-0.18%"
"30-08-2024","16,618.80","16,592.75","16,678.00","16,560.65","4.72B","0.63%"
"29-08-2024","16,514.70","16,591.90","16,598.00","16,402.35","1.13B","-0.43%"
"28-08-2024","16,586.20","16,622.15","16,655.55","16,516.50","728.39M","0.03%"
"27-08-2024","16,581.00","16,603.60","16,629.55","16,546.10","656.97M","0.14%"
"26-08-2024","16,558.00","16,549.65","16,599.30","16,508.20","563.59M","0.58%"
"23-08-2024","16,463.10","16,598.35","16,612.05","16,451.15","759.82M","-0.68%"
"22-08-2024","16,575.35","16,518.60","16,605.20","16,492.85","607.70M","0.80%"
"21-08-2024","16,444.35","16,408.80","16,456.10","16,358.20","535.04M","0.30%"
"20-08-2024","16,394.95","16,349.70","16,408.30","16,293.45","619.26M","0.83%"
"19-08-2024","16,260.05","16,341.45","16,369.10","16,201.70","675.89M","0.08%"
"16-08-2024","16,246.25","16,059.95","16,258.10","16,002.00","706.80M","2.03%"
"14-08-2024","15,922.95","16,105.05","16,115.15","15,880.40","814.07M","-0.82%"
"13-08-2024","16,055.35","16,265.40","16,295.30","16,031.90","1.08B","-0.87%"
"12-08-2024","16,196.75","16,134.70","16,230.70","16,013.90","862.74M","0.12%"
"09-08-2024","16,176.55","16,220.05","16,294.80","16,148.00","730.90M","0.77%"
"08-08-2024","16,052.60","16,098.75","16,179.40","16,008.05","873.29M","-0.16%"
"07-08-2024","16,077.70","15,940.10","16,096.20","15,839.95","703.93M","2.70%"
"06-08-2024","15,654.65","15,852.55","16,066.40","15,612.85","804.92M","-0.52%"
"05-08-2024","15,735.95","15,844.20","15,968.80","15,615.30","1.53B","-3.28%"
"02-08-2024","16,269.15","16,336.90","16,419.15","16,227.40","1.02B","-1.43%"
"01-08-2024","16,505.95","16,735.65","16,743.60","16,402.15","971.10M","-0.93%"
"31-07-2024","16,661.65","16,643.45","16,693.85","16,579.45","1.42B","0.70%"
"30-07-2024","16,546.55","16,465.50","16,585.40","16,430.75","890.80M","0.55%"
"29-07-2024","16,455.90","16,419.85","16,500.10","16,371.70","1.19B","0.98%"
"26-07-2024","16,296.30","15,994.75","16,305.65","15,983.35","1.23B","2.24%"
"25-07-2024","15,938.85","15,832.30","15,973.25","15,799.70","1.23B","-0.26%"
"24-07-2024","15,981.15","15,849.95","16,012.55","15,822.35","1.03B","0.87%"
"23-07-2024","15,843.55","15,959.70","15,977.05","15,274.00","1.96B","-0.15%"
"22-07-2024","15,867.10","15,571.90","15,923.55","15,477.80","1.18B","1.74%"
"19-07-2024","15,596.40","16,001.00","16,001.00","15,570.50","820.17M","-2.54%"
"18-07-2024","16,002.75","16,091.60","16,092.90","15,875.55","1.18B","-0.63%"
"16-07-2024","16,104.60","16,164.75","16,177.45","16,068.25","1.42B","0.10%"
"15-07-2024","16,088.45","16,025.15","16,101.65","15,904.10","1.17B","0.84%"
"12-07-2024","15,954.90","16,037.65","16,038.80","15,934.75","1.10B","-0.07%"
"11-07-2024","15,966.15","16,026.50","16,033.90","15,917.00","1.30B","0.12%"
"10-07-2024","15,947.75","16,078.85","16,079.35","15,624.40","998.66M","-0.50%"
"09-07-2024","16,027.45","16,039.40","16,080.30","15,948.65","1.04B","0.24%"
"08-07-2024","15,988.95","16,145.90","16,146.50","15,924.35","1.50B","-0.67%"
"05-07-2024","16,097.35","15,987.85","16,118.65","15,959.70","1.84B","0.76%"
"04-07-2024","15,976.05","15,921.40","16,001.05","15,881.00","1.11B","0.72%"
"03-07-2024","15,862.30","15,795.50","15,879.65","15,749.40","1.31B","0.96%"
"02-07-2024","15,711.45","15,874.20","15,886.80","15,621.40","1.25B","-0.81%"
"01-07-2024","15,840.40","15,745.40","15,849.65","15,689.70","1.27B","0.82%"
