"Date","Price","Open","High","Low","Vol.","Change %"
"31-05-2024","9,907.06","9,926.94","9,947.46","9,868.68","0.00K","0.28%"
"30-05-2024","9,879.18","9,966.62","9,976.98","9,853.30","0.00K","-0.96%"
"29-05-2024","9,975.03","10,005.79","10,025.61","9,971.00","0.00K","-0.66%"
"28-05-2024","10,041.45","10,116.82","10,116.82","10,025.61","0.00K","-0.44%"
"27-05-2024","10,085.39","10,129.13","10,143.71","10,064.69","0.00K","0.02%"
"24-05-2024","10,083.65","10,081.74","10,123.26","10,064.07","0.00K","-0.02%"
"23-05-2024","10,086.08","9,977.32","10,093.59","9,962.30","0.00K","1.28%"
"22-05-2024","9,959.00","9,968.55","9,968.56","9,895.60","0.00K","0.31%"
"21-05-2024","9,928.03","9,900.25","9,946.01","9,872.74","0.00K","0.30%"
"18-05-2024","9,898.70","9,890.41","9,913.41","9,887.33","0.00K","0.30%"
"17-05-2024","9,869.57","9,830.19","9,877.00","9,813.38","0.00K","0.56%"
"16-05-2024","9,814.44","9,771.64","9,823.32","9,682.86","0.00K","0.92%"
"15-05-2024","9,724.97","9,735.60","9,758.76","9,699.85","0.00K","0.19%"
"14-05-2024","9,706.20","9,647.30","9,720.37","9,629.79","0.00K","0.73%"
"13-05-2024","9,635.97","9,603.58","9,647.17","9,484.41","0.00K","0.29%"
"10-05-2024","9,608.08","9,573.55","9,618.28","9,543.06","0.00K","0.61%"
"09-05-2024","9,549.53","9,728.41","9,728.41","9,538.68","0.00K","-1.66%"
"08-05-2024","9,711.02","9,650.69","9,737.86","9,623.81","","0.34%"
"07-05-2024","9,678.13","9,858.92","9,796.13","9,641.17","","-1.01%"
"06-05-2024","9,776.42","9,858.92","9,857.53","9,751.48","","-0.36%"
"03-05-2024","9,811.45","9,926.60","9,931.98","9,754.69","","-0.63%"
"02-05-2024","9,873.52","9,837.99","9,893.90","9,833.60","","0.44%"
"30-04-2024","9,829.80","9,858.92","9,903.53","9,817.53","","0.00%"
"29-04-2024","9,829.59","9,788.42","9,834.79","9,754.66","","0.89%"
"26-04-2024","9,743.08","9,789.94","9,797.34","9,733.98","","-0.22%"
"25-04-2024","9,765.05","9,686.09","9,778.55","9,677.34","","0.64%"
"24-04-2024","9,702.87","9,701.50","9,724.12","9,691.73","","0.35%"
"23-04-2024","9,669.36","9,698.66","9,699.15","9,661.24","","0.24%"
"22-04-2024","9,646.06","9,640.66","9,658.16","9,595.43","","0.89%"
"19-04-2024","9,560.57","9,458.02","9,577.81","9,399.45","","0.37%"
"18-04-2024","9,525.77","9,627.71","9,664.08","9,509.47","","-0.57%"
"16-04-2024","9,580.67","9,558.17","9,611.77","9,540.92","","-0.38%"
"15-04-2024","9,616.96","9,538.77","9,685.07","9,538.77","","-1.22%"
"12-04-2024","9,736.20","9,811.34","9,824.50","9,731.60","","-0.86%"
"10-04-2024","9,820.73","9,800.82","9,829.51","9,781.83","","0.60%"
"09-04-2024","9,761.97","9,825.68","9,825.68","9,743.79","","-0.14%"
"08-04-2024","9,775.83","9,774.12","9,796.88","9,749.89","","0.53%"
"05-04-2024","9,724.63","9,715.62","9,733.79","9,679.70","","0.18%"
"04-04-2024","9,707.02","9,754.80","9,761.86","9,646.80","","0.23%"
"03-04-2024","9,684.42","9,667.76","9,711.71","9,638.29","","0.09%"
"02-04-2024","9,675.95","9,663.18","9,682.72","9,638.54","","0.30%"
"01-04-2024","9,646.71","9,611.94","9,656.85","9,611.94","","0.92%"
"28-03-2024","9,558.39","9,503.00","9,615.86","9,495.82","","0.92%"
"27-03-2024","9,470.86","9,470.91","9,508.98","9,459.87","","0.39%"
"26-03-2024","9,434.45","9,393.22","9,450.18","9,385.58","","0.05%"
"22-03-2024","9,429.29","9,358.03","9,455.68","9,339.72","","0.44%"
"21-03-2024","9,387.53","9,340.14","9,396.17","9,340.14","","1.26%"
"20-03-2024","9,270.98","9,278.65","9,299.87","9,196.73","","0.12%"
"19-03-2024","9,260.06","9,352.64","9,352.67","9,253.91","","-1.18%"
"18-03-2024","9,370.80","9,351.26","9,395.73","9,309.47","","0.10%"
