Date,Nifty Microcap 250 Historical Data,Gold Futures Historical Data,India 10-Year Bond Yield Historical Data (1),Nifty Auto Historical Data (2),Nifty India Manufacturing Historical Data (2),Nifty Midcap 50 Historical Data,Nifty Bank Historical Data,Nifty Alpha Low-Volatility 30 Historical Data,Nifty 50 Historical Data (3),S&P BSE 250 LargeMidCap Historical Data,Nifty Midcap 150 Historical Data (1),Nifty 500 Historical Data,Nifty Alpha 50 Historical Data,India 2-Year Bond Yield Historical Data,Nifty 100 Historical Data
2005-01-01,,,6.795,,,,,,,,,,,,
2005-01-03,,429.70,6.538,,,,,,"2,115.00",,,"1,834.75",,,
2005-01-04,,429.20,6.485,,,,,,"2,103.75",,,"1,831.30",,,
2005-01-05,,427.30,6.567,,,,,,"2,032.20",,,"1,769.20",,,
2005-01-06,,421.60,6.605,,,,,,"1,998.35",,,"1,741.10",,,
2005-01-07,,419.50,6.548,,,,,,"2,015.50",,,"1,758.05",,,
2005-01-08,,,6.566,,,,,,,,,,,,
2005-01-10,,419.70,6.588,,,,,,"1,982.00",,,"1,738.40",,,
2005-01-11,,422.40,6.554,,,,,,"1,952.05",,,"1,705.90",,,
2005-01-12,,426.60,6.581,,,,,,"1,913.60",,,"1,662.00",,,
2005-01-13,,425.10,6.566,,,,,,"1,954.55",,,"1,700.35",,,
2005-01-14,,423.30,6.648,,,,,,"1,931.10",,,"1,683.55",,,
2005-01-15,,,6.726,,,,,,,,,,,,
2005-01-17,,,6.69,,,,,,"1,932.90",,,"1,679.80",,,
2005-01-18,,423.50,6.717,,,,,,"1,934.05",,,"1,683.80",,,
2005-01-19,,423.30,6.758,,,,,,"1,926.65",,,"1,676.00",,,
2005-01-20,,422.60,6.719,,,,,,"1,925.30",,,"1,668.30",,,
2005-01-21,,426.90,,,,,,,,,,,,,
2005-01-22,,,6.738,,,,,,,,,,,,
2005-01-24,,427.10,6.748,,,,,,"1,909.00",,,"1,653.80",,,
2005-01-25,,422.10,6.755,,,,,,"1,931.85",,,"1,672.60",,,
2005-01-26,,426.90,,,,,,,,,,,,,
2005-01-27,,426.30,6.756,,,,,,"1,955.00",,,"1,692.80",,,
2005-01-28,,428.10,6.736,,,,,,"2,008.30",,,"1,732.70",,,
2005-01-29,,,6.712,,,,,,,,,,,,
2005-01-31,,424.10,6.703,,,,,,"2,057.60",,,"1,768.25",,,
2005-02-01,,422.90,6.723,,,,,,"2,059.85",,,"1,775.00",,,
2005-02-02,,423.00,6.679,,,,,,"2,052.25",,,"1,775.90",,,
2005-02-03,,418.50,6.727,,,,,,"2,079.45",,,"1,799.80",,,
2005-02-04,,415.90,6.731,,,,,,"2,077.95",,,"1,798.20",,,
2005-02-05,,,6.714,,,,,,,,,,,,
2005-02-07,,415.40,6.582,,,,,,"2,055.10",,,"1,786.70",,,
2005-02-08,,414.30,6.544,,,,,,"2,055.15",,,"1,788.85",,,
2005-02-09,,414.50,6.534,,,,,,"2,070.00",,,"1,805.15",,,
2005-02-10,,418.70,6.48,,,,,,"2,063.35",,,"1,803.00",,,
2005-02-11,,422.00,6.452,,,,,,"2,082.05",,,"1,817.50",,,
2005-02-12,,,6.454,,,,,,,,,,,,
2005-02-14,,427.30,6.499,,,,,,"2,098.25",,,"1,828.65",,,
2005-02-15,,427.30,6.516,,,,,,"2,089.95",,,"1,819.05",,,
2005-02-16,,426.90,6.532,,,,,,"2,068.80",,,"1,803.45",,,
2005-02-17,,428.60,6.507,,,,,,"2,061.90",,,"1,797.25",,,
2005-02-18,,428.40,6.498,,,,,,"2,055.55",,,"1,794.10",,,
2005-02-19,,,6.512,,,,,,,,,,,,
2005-02-21,,,6.508,,,,,,"2,043.20",,,"1,781.50",,,
2005-02-22,,435.80,6.502,,,,,,"2,058.40",,,"1,793.20",,,
2005-02-23,,436.10,6.507,,,,,,"2,057.10",,,"1,794.95",,,
2005-02-24,,435.70,6.506,,,,,,"2,055.30",,,"1,794.55",,,
2005-02-25,,436.10,6.495,,,,,,"2,060.90",,,"1,796.30",,,
2005-02-26,,,6.473,,,,,,,,,,,,
2005-02-28,,437.60,6.549,,,,,,"2,103.25",,,"1,827.40",,,
2005-03-01,,433.90,6.651,,,,,,"2,084.40",,,"1,811.90",,,
2005-03-02,,433.80,6.634,,,,,,"2,093.25",,,"1,825.30",,,
2005-03-03,,430.80,6.62,,,,,,"2,128.85",,,"1,854.30",,,
2005-03-04,,435.10,6.625,,,,,,"2,148.15",,,"1,871.95",,,
2005-03-05,,,6.578,,,,,,,,,,,,
2005-03-07,,435.80,6.533,,,,,,"2,160.10",,,"1,883.60",,,
2005-03-08,,441.10,,,,,,,"2,168.95",,,"1,893.20",,,
2005-03-09,,442.90,6.55,,,,,,"2,160.80",,,"1,881.80",,,
2005-03-10,,443.40,6.578,,,,,,"2,167.40",,,"1,889.00",,,
2005-03-11,,446.80,6.559,,,,,,"2,154.00",,,"1,880.85",,,
2005-03-12,,,6.562,,,,,,,,,,,,
2005-03-14,,441.60,6.574,,,,,,"2,146.35",,,"1,871.80",,,
2005-03-15,,441.40,6.623,,,,,,"2,128.95",,,"1,860.60",,,
2005-03-16,,444.20,6.626,,,,,,"2,125.55",,,"1,859.65",,,
2005-03-17,,439.10,6.694,,,,,,"2,098.50",,,"1,835.95",,,
2005-03-18,,439.70,6.661,,,,,,"2,109.15",,,"1,838.35",,,
2005-03-19,,,6.664,,,,,,,,,,,,
2005-03-21,,431.40,6.709,,,,,,"2,096.60",,,"1,829.30",,,
2005-03-22,,431.60,6.715,,,,,,"2,061.60",,,"1,793.30",,,
2005-03-23,,425.40,6.728,,,,,,"2,026.40",,,"1,758.50",,,
2005-03-24,,424.80,6.673,,,,,,"2,015.40",,,"1,748.60",,,
2005-03-28,,426.00,6.653,,,,,,"2,029.45",,,"1,762.60",,,
2005-03-29,,426.00,6.666,,,,,,"1,983.85",,,"1,724.65",,,
2005-03-30,,429.50,6.668,,,,,,"1,993.70",,,"1,737.45",,,
2005-03-31,,431.10,6.676,,,,,,"2,035.65",,,"1,772.85",,,
2005-04-01,,428.30,6.678,,,,,,"2,067.65",,,"1,805.30",,,
2005-04-02,,,6.73,,,,,,,,,,,,
2005-04-04,,426.00,6.75,,,,,,"2,063.40",,,"1,804.05",,,
2005-04-05,,426.60,6.73,,,,,,"2,052.55",,,"1,793.05",,,
2005-04-06,,429.20,6.822,,,,,,"2,069.30",,,"1,807.00",,,
2005-04-07,,428.40,6.975,,,,,,"2,052.85",,,"1,798.40",,,
2005-04-08,,428.80,7.015,,,,,,"2,031.20",,,"1,783.30",,,
2005-04-11,,430.40,7.002,,,,,,"2,008.20",,,"1,764.35",,,
2005-04-12,,429.30,7.002,,,,,,"2,024.95",,,"1,778.20",,,
2005-04-13,,431.00,7.002,,,,,,"2,025.45",,,"1,779.35",,,
2005-04-14,,425.60,,,,,,,,,,,,,
2005-04-15,,426.50,6.992,,,,,,"1,956.30",,,"1,726.75",,,
2005-04-16,,,7.089,,,,,,,,,,,,
2005-04-18,,429.00,,,,,,,"1,927.80",,,"1,706.45",,,
2005-04-19,,434.40,7.071,,,,,,"1,909.40",,,"1,693.55",,,
